sample-id	libType	extID	libID	sampleName	sampleNumber	sampleType	diet	tank	concExt	concAmp	concLib
18100FL-21-03-81	abV4-C	EXT-CP999-78-A	LIB-CP999-78-A-1	IFC D1 tk6 PCm06	78	pyloric caeca	D1	tk6	1.416167299	1.416167299	5.82576033
18100FL-21-03-67	abV4-C	EXT-CP999-65-A	LIB-CP999-65-A-1	IFC D1 tk4 PCm05	65	pyloric caeca	D1	tk4	0.110064816	0.110064816	3.79013692
18100FL-21-03-96	abV4-C	EXT-CP999-91-A	LIB-CP999-91-A-1	IFC D2 tk9 PCm02	91	pyloric caeca	D2	tk9	0.10042128	0.10042128	14.52247057
18100FL-21-03-83	abV4-C	EXT-CP999-80-A	LIB-CP999-80-A-1	IFC D3 tk7 PCm02	80	pyloric caeca	D3	tk7	0.11740247	0.11740247	5.588270932
18100FL-21-03-62	abV4-C	EXT-CP999-60-A	LIB-CP999-60-A-1	IFC D2 tk3 PCm06	60	pyloric caeca	D2	tk3	0.23969671	0.23969671	7.342784442
18100FL-21-03-112	abV4-C	EXT-CP999-106-A	LIB-CP999-106-A-1	IFC D3 tk11 PCm06	106	pyloric caeca	D3	tk11	0.159204468	0.159204468	7.999332793
18100FL-21-03-58	abV4-C	EXT-CP999-56-A	LIB-CP999-56-A-1	IFC D2 tk3 PCm02	56	pyloric caeca	D2	tk3	0.354653296	0.354653296	5.308372713
18100FL-21-03-70	abV4-C	EXT-CP999-68-A	LIB-CP999-68-A-1	IFC D3 tk5 PCm02	68	pyloric caeca	D3	tk5	0.134523664	0.134523664	14.65770023
18100FL-21-03-07	abV4-C	EXT-CP999-07-A	LIB-CP999-07-A-1	IFC D1 tk4 HGm01	07	hindgut	D1	tk4	1.249847132	1.249847132	24.07367018
18100FL-21-03-39	abV4-C	EXT-CP999-38-A	LIB-CP999-38-A-1	IFC D2 tk9 HGm02	38	hindgut	D2	tk9	0.083160083	0.083160083	15.89240276
18100FL-21-03-36	abV4-C	EXT-CP999-35-A	LIB-CP999-35-A-1	IFC D1 tk8 HGm05	35	hindgut	D1	tk8	0.212791977	0.212791977	14.50260511
18100FL-21-03-30	abV4-C	EXT-CP999-29-A	LIB-CP999-29-A-1	IFC D3 tk7 HGm05	29	hindgut	D3	tk7	17.16032775	17.16032775	13.84950927
