sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
18100FL-21-03-01	68553	41308	60.26	40861	40057	58.43	39877	58.17
18100FL-21-03-02	54077	34947	64.62	34649	33830	62.56	33764	62.44
18100FL-21-03-03	50993	32957	64.63	32579	32001	62.76	31954	62.66
18100FL-21-03-04	74823	49074	65.59	48546	47502	63.49	47270	63.18
18100FL-21-03-05	69697	45165	64.8	44805	43878	62.96	43661	62.64
18100FL-21-03-06	82232	54570	66.36	54197	53420	64.96	53133	64.61
18100FL-21-03-07	59761	34683	58.04	34273	33464	56	33419	55.92
18100FL-21-03-08	45813	29698	64.82	29513	29060	63.43	29054	63.42
18100FL-21-03-09	60813	40612	66.78	40070	39286	64.6	39139	64.36
18100FL-21-03-10	39472	26053	66	25883	25521	64.66	25521	64.66
18100FL-21-03-100	76614	46521	60.72	46287	45722	59.68	45672	59.61
18100FL-21-03-101	73795	46275	62.71	46063	45446	61.58	45387	61.5
18100FL-21-03-102	59716	37357	62.56	37180	36760	61.56	36751	61.54
18100FL-21-03-103	48116	31057	64.55	30929	30739	63.89	30682	63.77
18100FL-21-03-104	58824	37614	63.94	37402	36956	62.82	36895	62.72
18100FL-21-03-105	64502	42841	66.42	42662	42152	65.35	42048	65.19
18100FL-21-03-106	55472	36149	65.17	36018	35370	63.76	35333	63.7
18100FL-21-03-107	51327	33285	64.85	33155	32944	64.18	32890	64.08
18100FL-21-03-108	76364	47843	62.65	47676	47447	62.13	47331	61.98
18100FL-21-03-109	67078	43827	65.34	43701	43310	64.57	43304	64.56
18100FL-21-03-11	64555	42511	65.85	42009	40924	63.39	40893	63.35
18100FL-21-03-110	49915	32558	65.23	32459	32198	64.51	32175	64.46
18100FL-21-03-111	60981	40382	66.22	40160	39701	65.1	39595	64.93
18100FL-21-03-112	54181	35679	65.85	35510	35201	64.97	35085	64.76
18100FL-21-03-113	75307	50132	66.57	49717	49160	65.28	48735	64.72
18100FL-21-03-114	42856	23618	55.11	23223	22705	52.98	22696	52.96
18100FL-21-03-115	72826	47039	64.59	46615	45723	62.78	45434	62.39
18100FL-21-03-116	69409	43883	63.22	43381	42479	61.2	42202	60.8
18100FL-21-03-117	55761	36224	64.96	35836	35307	63.32	34951	62.68
18100FL-21-03-118	56531	36974	65.4	36481	35962	63.61	35312	62.46
18100FL-21-03-119	74282	48201	64.89	47673	46969	63.23	46420	62.49
18100FL-21-03-12	58003	37633	64.88	37323	36712	63.29	36653	63.19
18100FL-21-03-120	72435	46607	64.34	46048	44989	62.11	44652	61.64
18100FL-21-03-121	62116	38502	61.98	37993	37252	59.97	36975	59.53
18100FL-21-03-13	58843	38011	64.6	37785	36968	62.82	36878	62.67
18100FL-21-03-14	62626	40520	64.7	40283	39674	63.35	39637	63.29
18100FL-21-03-15	68251	43969	64.42	43646	43022	63.03	42951	62.93
18100FL-21-03-16	61835	40226	65.05	39980	39442	63.79	39403	63.72
18100FL-21-03-17	74211	49601	66.84	49366	48701	65.63	48230	64.99
18100FL-21-03-18	32967	21527	65.3	21410	21027	63.78	21027	63.78
18100FL-21-03-19	69097	45162	65.36	44562	43355	62.75	43216	62.54
18100FL-21-03-20	32930	21196	64.37	21136	20803	63.17	20803	63.17
18100FL-21-03-21	80221	52559	65.52	51917	51073	63.67	50857	63.4
18100FL-21-03-22	76616	50301	65.65	49980	49245	64.28	48945	63.88
18100FL-21-03-23	63708	40119	62.97	39671	38720	60.78	38627	60.63
18100FL-21-03-25	34348	23367	68.03	23200	22896	66.66	22896	66.66
18100FL-21-03-26	43861	29267	66.73	28958	28412	64.78	28369	64.68
18100FL-21-03-27	41938	26302	62.72	26025	25471	60.73	25413	60.6
18100FL-21-03-28	22305	15067	67.55	14911	14562	65.29	14562	65.29
18100FL-21-03-29	58595	39074	66.68	38809	38336	65.43	38230	65.24
18100FL-21-03-30	48793	32719	67.06	32520	32094	65.78	32080	65.75
18100FL-21-03-31	61	24	39.34	20	20	32.79	20	32.79
18100FL-21-03-32	76332	51503	67.47	51110	50298	65.89	50108	65.64
18100FL-21-03-33	44221	30831	69.72	30583	30200	68.29	30155	68.19
18100FL-21-03-34	60642	41626	68.64	41169	40403	66.63	40186	66.27
18100FL-21-03-35	65985	42767	64.81	42370	41712	63.21	41649	63.12
18100FL-21-03-36	64678	44453	68.73	44010	43411	67.12	43278	66.91
18100FL-21-03-37	51280	35003	68.26	34605	33653	65.63	33626	65.57
18100FL-21-03-38	90845	62734	69.06	62296	61192	67.36	61005	67.15
18100FL-21-03-39	52118	34996	67.15	34803	34261	65.74	34241	65.7
18100FL-21-03-40	24234	16642	68.67	16540	16172	66.73	16172	66.73
18100FL-21-03-41	36869	21230	57.58	21104	20519	55.65	20519	55.65
18100FL-21-03-42	51379	32739	63.72	32409	31894	62.08	31860	62.01
18100FL-21-03-43	56674	36417	64.26	36125	35458	62.56	35301	62.29
18100FL-21-03-44	64711	42473	65.63	42251	41398	63.97	41333	63.87
18100FL-21-03-45	53118	34548	65.04	34327	33633	63.32	33586	63.23
18100FL-21-03-46	52982	34639	65.38	34414	33744	63.69	33721	63.65
18100FL-21-03-47	20518	13247	64.56	13112	12817	62.47	12817	62.47
18100FL-21-03-49	80026	54256	67.8	53862	53013	66.24	52987	66.21
18100FL-21-03-50	55860	36521	65.38	36309	35683	63.88	35681	63.88
18100FL-21-03-51	68869	44630	64.8	44355	43673	63.41	43642	63.37
18100FL-21-03-52	68950	45423	65.88	45203	44472	64.5	44435	64.45
18100FL-21-03-53	78674	52192	66.34	51931	51240	65.13	51195	65.07
18100FL-21-03-54	58463	38975	66.67	38770	38155	65.26	38140	65.24
18100FL-21-03-55	66606	44058	66.15	43820	43096	64.7	43080	64.68
18100FL-21-03-56	68598	45590	66.46	45337	44976	65.56	44936	65.51
18100FL-21-03-57	48880	32316	66.11	32106	31615	64.68	31615	64.68
18100FL-21-03-58	46040	29912	64.97	29774	29601	64.29	29501	64.08
18100FL-21-03-59	41144	26558	64.55	26534	26442	64.27	26442	64.27
18100FL-21-03-60	51242	33024	64.45	32821	32511	63.45	32511	63.45
18100FL-21-03-61	48339	31481	65.13	31424	31118	64.37	31118	64.37
18100FL-21-03-62	47278	30622	64.77	30504	30053	63.57	30053	63.57
18100FL-21-03-63	45729	29178	63.81	29022	28522	62.37	28519	62.37
18100FL-21-03-64	60338	39381	65.27	39160	38710	64.16	38658	64.07
18100FL-21-03-65	58693	38746	66.01	38548	37926	64.62	37840	64.47
18100FL-21-03-66	36255	23604	65.11	23379	23082	63.67	23082	63.67
18100FL-21-03-67	48856	31865	65.22	31721	31515	64.51	31510	64.5
18100FL-21-03-68	50913	32345	63.53	32187	31911	62.68	31734	62.33
18100FL-21-03-69	62912	40878	64.98	40783	40458	64.31	40454	64.3
18100FL-21-03-70	64746	42164	65.12	42046	41583	64.22	41547	64.17
18100FL-21-03-71	65466	41815	63.87	41651	41300	63.09	41273	63.04
18100FL-21-03-73	54933	36459	66.37	36366	36103	65.72	36070	65.66
18100FL-21-03-74	55311	36062	65.2	36007	35902	64.91	35897	64.9
18100FL-21-03-75	67074	43812	65.32	43605	43246	64.48	43246	64.48
18100FL-21-03-76	76147	49666	65.22	49435	48789	64.07	48613	63.84
18100FL-21-03-77	63663	41139	64.62	41055	40693	63.92	40620	63.8
18100FL-21-03-78	48401	31719	65.53	31614	31292	64.65	31026	64.1
18100FL-21-03-79	67307	43951	65.3	43732	43438	64.54	43438	64.54
18100FL-21-03-80	56594	37162	65.66	36998	36698	64.84	36689	64.83
18100FL-21-03-81	51963	34940	67.24	34695	34369	66.14	34090	65.6
18100FL-21-03-82	45054	29299	65.03	29063	28649	63.59	28610	63.5
18100FL-21-03-83	53045	34871	65.74	34760	34488	65.02	34446	64.94
18100FL-21-03-84	38192	24770	64.86	24677	24452	64.02	24452	64.02
18100FL-21-03-85	60573	39999	66.03	39884	39412	65.07	39358	64.98
18100FL-21-03-86	50818	33782	66.48	33679	33424	65.77	33418	65.76
18100FL-21-03-87	21	9	42.86	7	3	14.29	3	14.29
18100FL-21-03-88	51840	33008	63.67	32839	32375	62.45	32371	62.44
18100FL-21-03-89	60709	40233	66.27	40135	39714	65.42	39701	65.4
18100FL-21-03-90	65800	43338	65.86	43188	42985	65.33	42961	65.29
18100FL-21-03-91	74006	47935	64.77	47686	47091	63.63	46860	63.32
18100FL-21-03-92	59000	38070	64.53	37871	37264	63.16	37159	62.98
18100FL-21-03-95	68695	42456	61.8	42362	41869	60.95	41863	60.94
18100FL-21-03-96	54611	33758	61.82	33646	33402	61.16	33250	60.89
18100FL-21-03-97	77583	48441	62.44	48243	47526	61.26	47467	61.18
18100FL-21-03-99	66636	38582	57.9	38368	38015	57.05	37943	56.94
