ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	18100FL-21-03-113	18100FL-21-03-114	18100FL-21-03-115	18100FL-21-03-116	18100FL-21-03-117	18100FL-21-03-118	18100FL-21-03-119	18100FL-21-03-120	18100FL-21-03-121
005433e71ad556709427fbe544d35fca	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Genus__Bacteroides	0	0	0	0	0.000200280392549569	0	0	0	0
00b37ea90847a824b7fe262419a9ec74	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Genus__Pantoea	0.0027496768103749	0.00251145576313007	0.0025751639741163	0.00251172930192882	0.00343337815799262	0.00172745808790213	0.0026281775096941	0.00273224043715847	0.00308316430020284
00d41cecce828ace11e94e8dc4e69e66	Bacteria	Firmicutes	Clostridia	Peptostreptococcales_Tissierellales	Family_XI	Peptoniphilus	Peptoniphilus_methioninivorax	0	0	0	0	0	0	0	0	0.000135226504394861
013b8aa787962026268e2275250de626	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214_group	Genus__NK4A214_group	0	0	0	0	0	0	0.0004739336492891	0	0
029011aa30c5e2da5a89bddca3ae026f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Aliivibrio	Genus__Aliivibrio	0.00153899821476207	0.00281988015509341	0.00204692521019501	0.00241694706412018	0.00157363165574662	0.00206728590847304	0.00161568289530375	0.00199319179432052	0.00227180527383367
02d3c8b6477cef9f3603c3e3adff5e1c	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	Gastranaerophilales	Gastranaerophilales	uncultured_bacterium	0	0	0	0	0	0	0	0.000179163307354654	0
02defc9d9b0dbd731a4ceccc3290281c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	Genus__Vagococcus	0.000964438881250898	0	0.000638288506404895	0	0	0	0.000732442912537699	0	0
02f049f059fc4e2092cec43fbdbbf91f	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium]_ruminantium_group	Genus__[Eubacterium]_ruminantium_group	0	0	0	0	0	0	0	0.000179163307354654	0
038af97db0a8ad81ef35e6d03e6f3e90	Bacteria	Firmicutes	Clostridia	Peptostreptococcales_Tissierellales	Anaerovoracaceae	Family_Anaerovoracaceae	Family_Anaerovoracaceae	0	0	0.000374169124444249	0	0	0	0	0	0
03a7621d8738885d90b13d335ea62c34	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_sobrinus	0.000779759095479449	0.000528727529080014	0.000396179072940969	0.000900431259182029	0.00120168235529742	0.00118939737199819	0.000883239982766049	0.00127653856490191	0.000838404327248141
03d15570891109ba6004feac0f2e6066	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Genus__Pedobacter	0	0	0	0	5.7222969299877e-05	0	0	0	0
03ff4fda9649f4027770298ef2718df9	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	uncultured_bacterium	0	0	0	0	0	0	0	0.000470303681805966	0
042ccb5285c578b547972179343ad8a6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	Genus__Pseudoalteromonas	0	0	0	0	0.000171668907899631	0	0	0	0
047573acca57e18509ed8bce8807afe3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Genus__Pseudomonas	0.000554039357314346	0	0	0.000639780105208284	0.00103001344739779	0.000651336656094246	0	0.000671862402579952	0
048d287323e5084fe98093b8ccd5aca6	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hathewaya	Clostridium_sp	0.000492479428723863	0.0012777581952767	0.000396179072940969	0.000473911189043173	0.000343337815799262	0.000453103760761214	0.000818612666953899	0.000425512854967303	0.000649087221095335
